family,anchor,opening,buffer_atr,max_hold,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
ORB,13,4,0.25,32,long,-54.450463169324934,-21.12644165892854,-0.5073169880112917,-57.20575795320742,0.9821756948328639,874.0,42.5,40,-1.0793745675433657
ORB,13,4,0.5,32,long,-58.88107294844025,-23.525101798978774,-0.6308484048012519,-62.040447310699676,0.9774626003167827,838.0,45.0,40,-1.2512528779082488
ORB,13,4,0.0,32,long,-61.46928419094279,-25.010966426978953,-0.6321933537950117,-64.27301424487453,0.9785068759539075,908.0,42.5,40,-1.274923496243757
ORB,13,4,0.25,32,both,-88.6785980969578,-48.18329657631054,-1.0938955456593225,-92.58357184107221,0.9647071250996974,1189.0,32.5,40,-2.0197312640700447
ORB,13,4,0.5,16,long,-70.21865110741368,-30.61942276314674,-1.3193913034115214,-71.2967833034811,0.9360772415148043,838.0,35.0,40,-2.0323591364463325
ORB,13,4,0.5,32,both,-90.60273948521495,-51.01594772395139,-1.218162726167758,-92.60136594088215,0.9606435394275128,1184.0,30.0,40,-2.1441763855765794
ORB,0,4,0.0,32,long,-83.03599406988688,-41.45714850205431,-1.3428901269140323,-83.0389263508217,0.9535130717107202,918.0,30.0,40,-2.173279390422249
ORB,13,4,0.5,8,long,-64.76680956220929,-27.008649958670638,-1.542763208164978,-66.2977786221103,0.8994475290578197,838.0,35.0,40,-2.205740994386081
ORB,13,4,0.25,8,long,-65.43823240383124,-27.431261819840678,-1.5567377989360003,-66.40993234567645,0.9014305572731002,874.0,37.5,40,-2.2208371223927648
ORB,0,4,0.25,16,both,-82.33053028106974,-40.73282825144137,-1.4471440947761265,-83.08369321447411,0.9318785988434092,1202.0,27.500000000000004,40,-2.277981026920868
ORB,13,4,0.25,16,long,-75.3421300593836,-34.461888849396495,-1.5388692012687357,-76.85412587894625,0.9280649447860287,874.0,27.500000000000004,40,-2.307410460058198
ORB,13,4,0.0,32,both,-91.41680233960767,-52.33733273566411,-1.4251178832912705,-93.84760787029578,0.9575641836833784,1189.0,35.0,40,-2.363593961994228
ORB,0,4,0.0,16,both,-84.229160673064,-42.73162403293026,-1.5687531407687723,-84.8349156481757,0.9261995545867434,1205.0,27.500000000000004,40,-2.4171022972505294
