entry,exit_ema,vol_floor,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
96,64,0.3,long,-29.799240414022588,-10.127588162347301,-0.13632012014133657,-60.48271779402704,0.9948611991183859,473.0,47.5,40.0,-0.741147298081607
96,96,0.3,long,-34.98377681851005,-12.18463851592827,-0.16094695208938284,-64.02534506841118,0.9945470680694037,434.0,50.0,40.0,-0.8012004027734947
64,96,0.3,long,-46.68187665487423,-17.28741197756156,-0.27728248253065235,-63.07647031618444,0.9912731929610402,579.0,42.5,40.0,-0.9080471856924968
64,64,0.3,long,-51.70289789788405,-19.719830470137545,-0.4022710927009208,-65.06043556286778,0.9861860860455258,627.0,42.5,40.0,-1.0528754483295986
96,64,0.6,long,-46.77923792121202,-17.33302356127442,-0.49726530953285963,-57.18652549777949,0.9755045754816194,246.0,40.0,40.0,-1.0691305645106546
48,96,0.3,long,-55.58319732386492,-21.723611925189235,-0.391939372050223,-67.81986535460818,0.9881163028464552,694.0,35.0,40.0,-1.0701380255963049
96,48,0.3,long,-46.223265254245135,-17.073341380788886,-0.4043610957972765,-66.59652584363455,0.9834926132910721,515.0,42.5,40.0,-1.070326354233622
96,96,0.6,long,-51.439182989940434,-19.58778882075187,-0.5155197790444306,-59.63206332248332,0.9775520179712321,229.0,40.0,40.0,-1.1118404122692638
96,64,0.45,long,-52.738612071533254,-20.2433358900309,-0.5259929997181085,-61.111165063047814,0.978150864334482,374.0,40.0,40.0,-1.1371046503485867
96,48,0.6,long,-49.50755815197161,-18.63557387153917,-0.5969903999451386,-58.38161399388384,0.9679130970891892,260.0,37.5,40.0,-1.180806539883977
96,96,0.45,long,-56.40664564452372,-22.164437066948906,-0.5259218081765398,-65.49710759151522,0.9805100790611124,346.0,40.0,40.0,-1.180892884091692
96,32,0.3,long,-55.40822139686469,-21.630676652953596,-0.6396340875828366,-68.14373195787451,0.970842071225759,569.0,40.0,40.0,-1.3210714071615817
64,48,0.3,long,-61.08982841059096,-24.788850548435516,-0.6175058464599701,-70.69844000887517,0.9773228827180648,673.0,42.5,40.0,-1.3244902465487218
64,96,0.6,long,-61.06751439156706,-24.775836120418305,-0.6531635290611022,-67.1670706765754,0.9736951381238179,315.0,37.5,40.0,-1.3248342358268563
48,64,0.3,long,-64.32946797653535,-26.73639081175144,-0.6098701498757566,-73.20939900703895,0.9801088302145525,750.0,42.5,40.0,-1.3419641399461462
64,96,0.45,long,-65.59135165635972,-27.528440594624605,-0.6557169700886216,-70.525312667099,0.977556744791422,466.0,37.5,40.0,-1.3609700967596117
64,64,0.6,long,-60.29426721658098,-24.328029358810177,-0.7049723960323019,-66.76182251782666,0.9686065254971933,336.0,37.5,40.0,-1.3725906212105685
96,48,0.45,long,-59.56308764571096,-23.910151861450114,-0.7197434297078611,-67.28467027489056,0.9675496668608485,404.0,37.5,40.0,-1.3925901324567667
64,64,0.45,long,-67.7974652693281,-28.963325520703542,-0.7850534868913901,-72.72133441561171,0.9705285180370263,501.0,35.0,40.0,-1.5122668310475071
48,96,0.45,long,-71.17983623697664,-31.30297543923578,-0.7620884985312856,-76.91293331544802,0.974861389086889,555.0,32.5,40.0,-1.5312178316857659
96,32,0.6,long,-58.79430527147467,-23.476435247471052,-0.8982075661817172,-65.31181731193742,0.9460432737721447,294.0,30.0,40.0,-1.5513257393010913
64,48,0.6,long,-64.5230500367953,-26.856612690889026,-0.8661793684335823,-70.39761129913842,0.9583710741033016,353.0,32.5,40.0,-1.5701554814249665
48,48,0.3,long,-71.90661640063438,-31.830474053376754,-0.8417773183974654,-78.61972527540009,0.970888819364252,797.0,37.5,40.0,-1.6279745711514662
96,32,0.45,long,-64.58817688584782,-26.89716191206195,-0.9297570972174937,-70.07695240945924,0.9531883584112439,447.0,35.0,40.0,-1.630526621312086
48,96,0.6,long,-71.05158680751946,-31.210858700315004,-0.8734726006519762,-75.99351962788509,0.9662750067079444,376.0,32.5,40.0,-1.6334077969308272
96,64,0.3,both,-85.72164118017284,-44.4243797717085,-0.7226636937329868,-93.46645118813983,0.9786234731435718,936.0,35.0,40.0,-1.6573282056143852
64,48,0.45,long,-71.80961697151211,-31.759524811157036,-0.9525133431692174,-76.18557846226149,0.961692004868233,534.0,32.5,40.0,-1.7143691277918323
96,16,0.3,long,-63.613172124227354,-26.295465088086132,-0.9988753560286066,-71.6075546737386,0.9447115645169345,663.0,30.0,40.0,-1.7149509027659926
64,32,0.3,long,-71.38520368904892,-31.45108108841881,-0.9661198509809845,-76.86656002201038,0.9607678188543771,742.0,35.0,40.0,-1.7347854512010883
96,96,0.3,both,-89.6049334642281,-49.501174920331636,-0.7958111426701874,-94.45721722518547,0.9789568008578545,867.0,30.0,40.0,-1.7403833149220422
32,64,0.3,long,-78.55548726620997,-37.166228249770484,-0.9372928139824424,-82.01831383836816,0.9713349291612962,1003.0,37.5,40.0,-1.757475952366124
48,64,0.45,long,-76.25069050615087,-35.200262329488574,-0.9926103381049739,-81.44396455176688,0.9645528505877662,596.0,35.0,40.0,-1.8070499836226426
48,64,0.6,long,-73.3842776086532,-32.93307955486189,-1.0248897008248503,-78.45445363207043,0.9569213584814853,405.0,37.5,40.0,-1.8094342371455547
96,16,0.6,long,-62.60456241965049,-25.684761297249516,-1.215166036716483,-68.68894022543299,0.9104803106580892,334.0,30.0,40.0,-1.9020554389708129
64,96,0.3,both,-93.66122731065327,-56.50407433162235,-0.9569996183173265,-95.59482377338175,0.9767661627052602,1166.0,27.500000000000004,40.0,-1.9129478560511441
96,64,0.45,both,-90.83206998032615,-51.37983443500305,-1.0018814610299867,-94.32770867630317,0.9673677858718938,743.0,25.0,40.0,-1.9451585477930184
64,32,0.6,long,-72.0972890445267,-31.970439715571185,-1.210195720995256,-76.51449928764164,0.9355714371551309,393.0,30.0,40.0,-1.9753407138716725
96,16,0.45,long,-68.85888407054787,-29.678245573998552,-1.2585369724017155,-73.75750401743663,0.922905067854235,518.0,25.0,40.0,-1.9961120125760818
48,48,0.45,long,-79.46852064850331,-37.985907990441525,-1.169991652587149,-84.15115242853611,0.9556188872489676,629.0,32.5,40.0,-2.0115031768725102
96,96,0.45,both,-93.28149095122257,-55.73358959095156,-1.0581157836136659,-95.39502181036508,0.9694585448807246,691.0,20.0,40.0,-2.012066001717317
48,48,0.6,long,-76.52320515908522,-35.42556940069578,-1.2038339660722541,-81.21527828240002,0.9459019835742187,422.0,30.0,40.0,-2.015986748896254
64,64,0.3,both,-93.99348067144084,-57.20511471207567,-1.0731457468477854,-96.42504752705078,0.9715168401361617,1254.0,35.0,40.0,-2.0373962221182933
32,48,0.3,long,-83.95588278764244,-42.433929968566275,-1.1988817656284527,-86.84717286880034,0.9617174353174108,1068.0,27.500000000000004,40.0,-2.067353494316456
32,64,0.45,long,-84.11107958944457,-42.60255452167938,-1.2360729945407907,-86.9346283818436,0.958437256943169,794.0,30.0,40.0,-2.1054192783592267
