family,anchor,opening,z_entry,max_hold,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
VWAP_MR,0,8,3.0,8,long,-6.326435544299224,-1.9530461405558919,-0.08670170712112177,-27.477723220664807,0.993124858833873,364.125,47.5,40,-0.36147893932776987
VWAP_MR,0,8,3.0,4,long,-27.084513367164607,-9.092565808853237,-0.44475997901362685,-43.29987585539739,0.9584457291873894,651.75,40.0,40,-0.8777587375676008
VWAP_MR,0,8,3.0,16,long,-22.25284611508398,-7.315119653449253,-0.663198768139893,-23.14733496421938,0.9516877720619664,178.71530969030968,45.0,40,-0.8946721177820868
VWAP_MR,0,8,2.5,8,long,-38.47446509782792,-13.635051081715355,-0.6003743876702153,-43.37813115409418,0.962310222441769,665.25,37.5,40,-1.0341556992111571
VWAP_MR,13,8,2.5,16,long,-38.053418489190946,-13.457103273016601,-0.6419697468552987,-41.125444412491106,0.9499206320634037,279.47848054723056,40.0,40,-1.0532241909802098
VWAP_MR,13,8,3.0,8,long,-31.63912854485438,-10.845062130238325,-0.8084538119759381,-33.4646039353874,0.9269875095641361,282.5,37.5,40,-1.1430998513298123
VWAP_MR,0,8,2.5,16,long,-38.10992504777268,-13.480935598529253,-0.7669866782228534,-38.54661497356472,0.955102567703098,349.9772366522367,42.5,40,-1.1524528279585007
VWAP_MR,0,8,2.0,16,long,-48.52591618415285,-18.16138531326571,-0.7373177274736712,-49.09378252878476,0.9658267473739689,581.7135933510933,37.5,40,-1.2282555527615187
VWAP_MR,13,8,2.5,8,long,-49.13787961474154,-18.45624892792246,-0.7644707086252335,-51.96135297605742,0.9402667240661298,539.3125,35.0,40,-1.2840842383858075
VWAP_MR,13,8,3.0,16,both,-34.96457273905246,-12.176811204635296,-0.9171142100606889,-37.0488393201308,0.9466345989048361,302.66778915528914,35.0,40,-1.287602603261997
VWAP_MR,0,8,2.0,8,long,-60.06937763093063,-24.198934340593116,-0.8407182443649535,-60.40600741773217,0.9589127673473042,1026.5,37.5,40,-1.4447783185422751
VWAP_MR,13,8,2.0,16,long,-59.311705002744205,-23.76770302309632,-0.9917440571952866,-61.2481086035366,0.9454889107223049,481.4429785492286,35.0,40,-1.6042251432306527
VWAP_MR,13,8,3.0,4,long,-50.27418231605506,-19.010392841602552,-1.1383704037623286,-51.068085000947136,0.8862579840813614,525.0,30.0,40,-1.6490512537718
VWAP_MR,0,8,2.5,4,long,-62.138849712078205,-25.40665330161149,-1.0660892902259416,-62.22796720621113,0.9296539368562827,1148.25,27.500000000000004,40,-1.6883689622880529
VWAP_MR,0,8,1.5,16,long,-69.59367144452382,-30.18318957129479,-1.0545213810992373,-70.08468207795022,0.959452420644743,822.1575438450438,37.5,40,-1.7553682018787395
VWAP_MR,13,8,2.5,16,both,-60.66710613389964,-24.543182214397575,-1.1361643005801585,-63.53229373367019,0.9463186146071556,613.528395909646,27.500000000000004,40,-1.7714872379168605
VWAP_MR,13,8,1.5,16,long,-73.33602616166529,-32.8964087097263,-1.22310730216892,-74.62578071563233,0.9483412905476101,707.3943480130979,30.0,40,-1.9693651093252433
VWAP_MR,13,8,2.0,8,long,-74.51259032578047,-33.8041461371041,-1.2238211543959399,-75.85918343581672,0.929831221518159,859.375,27.500000000000004,40,-1.982412988754107
VWAP_MR,13,8,2.5,4,long,-74.06044088853324,-33.45191229371341,-1.4689926478181854,-74.99176485559157,0.8904201350674084,928.5,27.500000000000004,40,-2.218910296374101
