,return_pct,cagr_pct,sharpe,sortino,max_dd_pct,exposure_pct,trades,calmar
buy_and_hold,1409.24,35.47,0.78,0.99,-83.9,99.99,1.0,0.42
baseline_frozen,7558.64,62.46,1.35,1.15,-59.24,42.81,409.0,1.05
trailing_atr_2.5x,3931.34,51.21,1.19,1.02,-57.15,41.9,751.0,0.9
trailing_atr_3.0x,5641.14,57.3,1.28,1.1,-60.75,42.14,657.0,0.94
trailing_atr_4.0x,5671.24,57.4,1.28,1.1,-55.81,42.42,557.0,1.03
voltarget_40,2097.17,41.28,1.39,1.25,-40.12,33.12,5926.0,1.03
voltarget_50,3277.06,48.24,1.41,1.24,-44.57,36.89,4416.0,1.08
voltarget_60,4496.23,53.44,1.42,1.25,-47.53,39.14,3108.0,1.12
voltarget_50_cap1.25,4177.85,52.21,1.39,1.25,-47.66,41.4,5926.0,1.1
voltarget_50_cap1.5,4997.45,55.23,1.39,1.26,-50.23,44.3,6952.0,1.1
voltarget_50_band10,3624.29,49.87,1.43,1.26,-45.09,36.84,678.0,1.11
voltarget_50_band20,3608.86,49.8,1.42,1.25,-42.74,37.01,525.0,1.17
regime_slope_filter,5937.8,58.19,1.34,1.03,-57.07,35.64,301.0,1.02
voltarget_50_plus_slope,2311.58,42.76,1.37,1.09,-43.67,30.41,3767.0,0.98
