,perp_ma250_2x,strategy,spot_dual_trend
0.02%,38515.54,perp_ma250_2x,
0.03%,35324.78,perp_ma250_2x,
0.04%,32397.11,perp_ma250_2x,
0.05%,29710.88,perp_ma250_2x,
0.06%,27246.23,perp_ma250_2x,
0.07%,24984.91,perp_ma250_2x,
0.08%,22910.18,perp_ma250_2x,
0.09%,21006.69,perp_ma250_2x,
0.10%,19260.33,perp_ma250_2x,
0.05%,,spot_dual_trend,11430.62
0.07%,,spot_dual_trend,10524.95
0.09%,,spot_dual_trend,9690.25
0.11%,,spot_dual_trend,8920.98
0.13%,,spot_dual_trend,8212.01
0.15%,,spot_dual_trend,7558.64
0.17%,,spot_dual_trend,6956.52
0.19%,,spot_dual_trend,6401.62
