strategy,year,return_pct,max_dd_pct,order_events
daily_7_vote_ensemble,2019,-1.89,-2.07,5
daily_7_vote_ensemble,2020,163.96,-26.06,38
daily_7_vote_ensemble,2021,72.85,-32.31,43
daily_7_vote_ensemble,2022,-11.53,-12.09,6
daily_7_vote_ensemble,2023,64.99,-22.19,39
daily_7_vote_ensemble,2024,66.89,-32.59,45
daily_7_vote_ensemble,2025,4.93,-16.09,49
daily_7_vote_ensemble,2026,-5.33,-7.52,10
ma250_2x_long_flat,2019,-14.55,-31.55,10
ma250_2x_long_flat,2020,779.34,-39.06,33
ma250_2x_long_flat,2021,152.60,-53.51,41
ma250_2x_long_flat,2022,-55.06,-61.03,56
ma250_2x_long_flat,2023,244.60,-34.57,37
ma250_2x_long_flat,2024,149.52,-30.44,43
ma250_2x_long_flat,2025,-21.29,-37.32,60
ma250_2x_long_flat,2026,-11.74,-33.81,35
ma250_2x_long_short_05,2019,-13.82,-28.09,11
ma250_2x_long_short_05,2020,826.11,-36.10,33
ma250_2x_long_short_05,2021,185.89,-56.48,41
ma250_2x_long_short_05,2022,-44.99,-54.17,56
ma250_2x_long_short_05,2023,219.89,-38.07,37
ma250_2x_long_short_05,2024,136.18,-31.75,43
ma250_2x_long_short_05,2025,-22.70,-36.82,60
ma250_2x_long_short_05,2026,-2.84,-31.01,35
dual_trend,2019,-5.50,-10.18,2
dual_trend,2020,272.56,-25.37,47
dual_trend,2021,105.34,-25.62,61
dual_trend,2022,-36.95,-38.42,46
dual_trend,2023,104.14,-19.47,33
dual_trend,2024,58.90,-29.87,61
dual_trend,2025,12.38,-15.29,44
dual_trend,2026,-5.65,-17.19,23
buy_hold_btc_spot,2019,-31.05,-36.48,0
buy_hold_btc_spot,2020,302.83,-56.01,0
buy_hold_btc_spot,2021,58.24,-54.11,0
buy_hold_btc_spot,2022,-63.76,-67.22,0
buy_hold_btc_spot,2023,157.20,-21.18,0
buy_hold_btc_spot,2024,120.95,-30.01,0
buy_hold_btc_spot,2025,-7.04,-34.37,0
buy_hold_btc_spot,2026,-25.29,-39.98,0
