fast,slow,lookback,trend,return_%,cagr_%,sharpe,max_dd_%,exposure_%,entries,exits,orders
30,144,120,240,4606.504586693319,66.36149292464889,1.4809497125098483,-34.82458454104213,46.25731346884613,177,176,353
18,192,120,300,4276.730842015741,64.77205106728753,1.4569116233508383,-46.32736789859154,45.31033234815128,181,180,361
30,144,120,300,4132.902640675607,64.04605681042914,1.4517788316336038,-46.13254902410293,45.093190180348635,171,170,341
24,168,120,240,3996.749327153836,63.33880131701206,1.4342629821989634,-41.907160194050306,46.23318656131251,182,181,363
18,192,120,240,3950.704567684493,63.094999837713274,1.4313708228858806,-44.62836207454674,46.040171301043486,179,178,357
24,168,120,300,3897.585501050979,62.81073483969939,1.4286606541374414,-46.50574059414859,45.28620544061765,176,175,351
18,144,120,240,3805.6255622111407,62.31077119617405,1.4187845440914735,-46.1483376549934,46.28747210326317,182,181,363
18,168,120,240,3775.8139419969903,62.146499172761715,1.4141157897225083,-48.93993332474712,46.30556728391338,183,182,365
18,168,120,300,3703.289211365035,61.74223753566564,1.4110682807506592,-51.2355742903285,45.28620544061765,181,180,361
18,144,120,300,3637.847606120891,61.371674694695514,1.4105644084527866,-51.541703867268865,44.978587369563904,177,176,353
18,192,120,360,3569.46470356629,60.97839172927584,1.410133223053401,-39.2477375170783,43.82652753483322,181,180,361
30,192,120,300,3624.4073664738175,61.29487319388971,1.4094459547379015,-45.00750707350591,45.08112672658182,181,180,361
30,192,120,240,3577.6159163719212,61.02560316798129,1.4062202552631884,-45.37201036155901,45.55160142348754,172,171,343
30,168,120,300,3561.8005401504442,60.93391816489544,1.4030785689404772,-44.85927008096282,45.18366608359973,177,176,353
30,144,120,360,3424.0934953545798,60.120741430608014,1.402753827334141,-39.43006937251774,43.41033837987816,172,171,343
24,144,120,300,3556.547232104264,60.90338761294358,1.4021229553702657,-46.96947600925812,45.032872911514566,173,172,345
24,144,120,240,3602.9546806601716,61.17178640047249,1.4001679872556188,-43.10344841144984,46.26937692261294,179,178,357
24,192,120,300,3519.4557588254715,60.68673397518205,1.3985896987772555,-45.911569026305855,45.23191989866699,182,181,363
24,192,120,240,3503.2950338459787,60.59173500075359,1.3974426484880724,-46.32745079980886,45.84715604077447,175,174,349
30,168,120,240,3470.785663428471,60.399506942261795,1.3942661865045738,-43.632344087722,46.04620302792689,174,173,347
24,168,120,360,3368.8313182903685,59.78663822156523,1.3937702997590393,-39.37244045996133,43.65763918209783,177,176,353
30,192,120,360,3196.5735603349012,58.714707100728546,1.3791775895912057,-38.89647595422695,43.705892997165094,181,180,361
24,192,120,360,3173.868607785436,58.56981158122421,1.3757335390085417,-39.195626038801414,43.77827371976597,182,181,363
18,144,120,360,3119.7580565437297,58.22094818975276,1.3742012789916809,-44.5127057601731,43.229386573375955,173,172,345
30,168,120,360,3104.170642062239,58.11950863809909,1.3695502749454502,-38.41837269849968,43.61541709391399,179,178,357
30,144,180,240,3212.6749043651953,58.816936611071256,1.365653779491944,-37.865677817612685,47.37318294227638,150,149,299
18,168,120,360,3070.204322948844,57.896971231387816,1.363570952871521,-44.3002601932937,43.609385367030576,180,179,359
30,144,180,360,2952.3962301850142,57.108744787913835,1.355238926823161,-36.53243449376321,45.17160262983292,136,135,271
24,144,120,360,2954.7408496305784,57.124687620251315,1.3548414629928,-40.37113134060321,43.27764038844321,172,171,343
30,144,150,360,2963.434914070587,57.18371256036361,1.352109244239575,-39.18873794537967,44.550334760842034,148,147,295
30,144,180,300,2946.7990966102457,57.07064265284831,1.3429605872089638,-39.5805128429765,46.5890584474335,147,146,293
30,144,150,240,3023.0225466859324,57.58439138323226,1.3408113403745143,-38.15689007794384,47.01731105615538,156,155,311
18,192,180,360,2801.5359569512784,56.059881294138506,1.3242864235105705,-42.40233204774441,45.88937812895832,136,135,271
30,144,90,240,2616.5305638433615,54.706983752201864,1.3222019755730527,-44.726400310776185,44.56239821460885,228,227,455
18,192,180,300,2850.8388604908964,56.4077648404397,1.3194435908377995,-39.78242529027036,47.107786959406475,148,147,295
30,144,90,360,2411.312125216033,53.10932803852453,1.3165776927056254,-43.39641534154666,41.6551058568068,220,219,439
18,192,180,240,2704.765989290004,55.3618834298188,1.3024553657686269,-41.99561446896103,47.487785753061104,147,146,293
24,144,90,360,2304.9907018262493,52.23651930088333,1.3006577471992042,-43.39641534154658,41.73351830629109,219,218,437
24,168,180,360,2542.985116229541,54.14685429548496,1.2956643546572029,-42.40233204774441,45.593823511671395,134,133,267
18,168,180,240,2609.704738898155,54.65555537192197,1.2946381376559788,-39.45648553734266,47.427468484227035,150,149,299
30,192,180,300,2674.6696762173024,55.14053801704155,1.294095353785145,-40.11175221295268,47.2163580433078,139,138,277
30,144,150,300,2553.9284951605223,54.23105016412877,1.2933073940216289,-46.34865329750673,46.02810784727668,158,157,315
18,144,90,360,2263.9040571373016,51.89024002180744,1.292737500159871,-42.136043217098475,41.80589902889197,222,221,443
30,192,180,240,2636.742458952666,54.858612941218944,1.2906174930363756,-42.21274160453093,47.125882140056696,140,139,279
18,192,150,360,2545.6922982374276,54.16771086275516,1.2896991420845465,-42.714621737829326,45.274141986850836,153,152,305
30,144,90,300,2289.479607848493,52.10639905977605,1.2886586130383821,-44.72640031077601,43.16906930454189,226,225,451
18,168,180,360,2438.5371271212607,53.32765792834475,1.2875184894256921,-40.29769858403004,45.34049098256831,137,136,273
24,168,180,240,2569.644836821779,54.35144257671987,1.2863393540458674,-43.00276863753047,47.51794438747813,150,149,299
18,192,90,360,2216.778826721974,51.486576550572515,1.2827161912161744,-43.39641534154659,41.998914289160986,227,226,453
24,168,180,300,2522.127107129546,53.98553616516819,1.2825038231158579,-40.82800797914472,46.926835152904275,147,146,293
18,168,90,360,2196.3338910490884,51.30923001606038,1.2818921190434587,-42.900024922785704,41.956692200977145,225,224,449
24,144,150,360,2327.6120659476524,52.424986930266115,1.276218699494562,-40.62139941896675,44.19446287472103,148,147,295
18,168,150,360,2373.0998147298487,52.79939493480903,1.2755190386080921,-40.62139941896674,44.719223113577414,153,152,305
18,192,90,300,2203.4521138932946,51.37113090851133,1.2705999512734727,-44.726400310776135,43.30176729597684,231,230,461
24,168,150,360,2378.519371117293,52.8436038134221,1.2703592395456529,-42.714621737829326,44.99065082333072,149,148,297
30,192,180,360,2411.2369033762047,53.10872195995571,1.26967316558465,-44.7606819793944,46.16683756559503,137,136,273
18,168,180,300,2389.7796569732795,52.9351896161677,1.2696272661322061,-41.09225771821603,46.703661258218226,152,151,303
24,192,180,240,2401.96044397357,53.03385847382236,1.2684205805519206,-41.69861700718972,47.349056034742745,142,141,283
30,168,180,300,2380.064447232156,52.85619207494552,1.2669080362903904,-40.238022949262906,47.01731105615538,145,144,289
24,192,180,360,2318.935116476965,52.35287670139179,1.2661256165635217,-43.36098245423516,45.955727124675796,137,136,273
24,192,180,300,2378.9041604184977,52.846739459654344,1.2652529519530051,-39.71299358200366,47.13794559382351,144,143,287
24,144,90,300,2134.9030335032185,50.767987009536284,1.2634457887561827,-45.721002186536,43.35002111104409,228,227,455
30,168,180,360,2286.820516710984,52.08401877739317,1.2633881346311158,-43.88271601774802,45.73255322998975,137,136,273
24,168,90,360,2075.4049292256377,50.231321144479544,1.2623273442534957,-43.39641534154652,41.78780384824175,225,224,449
30,192,150,360,2358.310770923201,52.67832728011006,1.2598673783289807,-43.5188683036151,45.38874479763556,153,152,305
24,144,90,240,2152.544081482089,50.92472361155143,1.2562753604725965,-45.639461378603954,44.83985765124555,229,228,457
30,168,150,360,2223.686872869456,51.546192428908036,1.2509482848543065,-42.621165129832285,45.08715845346523,154,153,307
18,144,90,300,2037.7320282147543,49.88489193769156,1.2463866346023058,-46.81971477683039,43.386211472344534,232,231,463
24,144,180,240,2206.768987539336,51.39991814443048,1.2457717134761868,-39.71245138165788,47.186199408890765,154,153,307
24,192,150,360,2183.810234672446,51.19991748556156,1.2435943494222979,-42.08770267650868,45.34652270945171,155,154,309
30,192,90,360,1938.6546861148208,48.947847340730746,1.2429750904580872,-45.445348579756626,41.6551058568068,220,219,439
30,168,90,360,1919.1531449860945,48.758766467287494,1.2393688762348982,-45.63724380905106,41.6551058568068,225,224,449
18,168,90,300,1997.9850464904196,49.51359812115852,1.2393677123992646,-46.25129091838546,43.43446528741179,234,233,467
24,144,180,360,2051.018950247602,50.00767515178357,1.2388376709391542,-40.29769858403009,44.815730743711924,138,137,275
18,192,90,240,2025.5434864552494,49.77167492641294,1.2383867504020771,-44.726400310776015,44.2547801435551,230,229,459
18,168,90,240,2013.7766658431456,49.66183941044362,1.235020567855101,-45.162741561419914,44.695096206043786,233,232,465
30,168,180,240,2138.6417152116974,50.80129376136446,1.231752072952422,-42.434467451443695,47.46969057241088,147,146,293
24,144,150,240,2144.0936274836395,50.84977673124518,1.2316429835944356,-44.29516519093531,46.745883346402074,156,155,311
18,144,90,240,2007.4913715449038,49.60295273937307,1.2315082451428423,-43.74640831100637,45.014777730864346,236,235,471
18,144,150,360,2007.1994766297455,49.6002142859004,1.2300865964901875,-42.55022795922917,43.88684480366729,151,150,301
24,192,90,360,1868.1913105374324,48.25706830320706,1.22960391870802,-45.63724380905108,41.82399420954219,227,226,453
24,144,180,300,2054.3886729764326,50.03870979463081,1.228272809321546,-40.33657093882859,46.263345195729535,153,152,305
18,168,150,240,2120.7723949197793,50.64166320437593,1.2247273703080508,-46.273007089963635,46.97508896797153,160,159,319
24,168,90,300,1902.2625163619334,48.593715034430154,1.2235762910559662,-44.72640031077609,43.23541830025937,232,231,463
24,144,150,300,2037.3039513235974,49.8809251177001,1.2225150304955152,-46.8260521637035,45.696362868689306,159,158,317
18,192,150,240,2122.6760561730716,50.658721970358165,1.2220490171451548,-46.24920990968335,47.11985041317329,159,158,317
24,168,90,240,1929.8546974421292,48.86272061373871,1.2220050594115264,-44.72640031077617,44.38747813499005,236,235,471
18,144,180,240,2036.8277265096424,49.87651131958395,1.2214300487085645,-41.547316343579375,46.91477169913746,152,151,303
30,192,150,240,2136.772364408051,50.78464633605038,1.2203875623665532,-49.31289954682415,46.81223234211955,153,152,305
30,192,150,300,2128.320656933699,50.70922897634416,1.219635147923848,-48.04131023173167,46.444297002231735,158,157,315
24,168,150,240,2105.410340824518,50.50353703001935,1.2191705652978346,-43.798087031459495,47.15000904759032,160,159,319
