,0
Net Profit $,232636.79
Net Profit %,2326.37
Buy&Hold Return %,762.23
Gross Profit $,325286.94
Gross Loss $,-88686.44
Profit Factor,3.67
Max Drawdown %,-38.26
Max Run-up %,3233.45
Commission Paid $,13268.55
Total Closed Trades,27.0
Percent Profitable %,25.93
Avg Trade %,23.99
Avg Win %,103.05
Avg Loss %,-3.68
Ratio AvgWin/AvgLoss,27.97
Largest Win %,389.86
Largest Loss %,-11.64
Avg Bars in Trades,59.5
Avg Bars in Wins,186.0
Avg Bars in Losses,15.2
Sharpe Ratio,1.18
Sortino Ratio,1.27
CAGR %,47.88
Time in Market %,54.0
