entry_date,exit_date,bars,entry_price,exit_price,return_pct,pnl
2019-02-24,2019-02-24,1,3743.56,3743.56,-6.6,-659.82
2019-02-26,2019-09-20,207,3809.23,10168.59,135.91,12681.1
2020-01-15,2020-03-08,54,8821.41,8033.31,-11.64,-2559.91
2020-04-30,2021-05-15,381,8620.0,46762.99,389.86,75661.73
2021-08-01,2021-08-01,1,39845.44,39845.44,-2.31,-2197.47
2021-08-05,2021-09-28,55,40862.46,41026.54,-6.58,-6098.5
2021-09-30,2021-12-04,66,43824.1,49152.47,16.08,13917.99
2022-03-28,2022-04-11,15,47122.21,39530.45,-11.46,-11505.71
2023-01-14,2023-06-05,143,20954.92,25728.2,26.4,23434.23
2023-06-07,2023-06-07,1,26339.34,26339.34,-1.95,-2191.17
2023-06-21,2023-08-17,58,29993.89,26623.41,-6.5,-7131.85
2023-10-17,2024-05-01,198,28395.91,58364.97,97.9,100385.37
2024-05-04,2024-05-10,7,63892.04,60799.99,-1.95,-3952.59
2024-05-14,2024-05-14,1,61577.49,61577.49,-1.32,-2626.23
2024-05-16,2024-06-18,34,65235.21,65175.32,-0.97,-1898.09
2024-06-21,2024-06-22,2,64143.56,64262.01,-0.62,-1202.2
2024-07-16,2024-07-17,2,65043.99,64087.99,-0.64,-1239.85
2024-07-20,2024-08-02,14,67139.96,61498.33,-6.7,-12788.93
2024-09-23,2024-10-01,9,63339.99,60805.78,-3.27,-5820.93
2024-10-05,2024-10-09,5,62058.0,60636.02,-1.42,-2432.97
2024-10-12,2025-02-19,131,63206.22,96644.37,46.77,79175.95
2025-02-21,2025-02-21,1,96181.98,96181.98,-1.32,-3276.54
2025-02-24,2025-02-24,1,91552.88,91552.88,-2.88,-7046.81
2025-04-25,2025-10-17,176,94638.68,106431.68,8.43,20030.57
2025-10-27,2025-10-27,1,114107.65,114107.65,-0.31,-800.44
2026-04-18,2026-04-19,2,75691.76,73801.79,-2.52,-6459.27
2026-04-21,2026-05-31,41,76336.15,73674.39,-2.72,-6797.16
