strategy,variant,timestamp_utc,closed_bar_time,closed_bar_date,run_number,dry_run,action,side,data_source,execution_source,btc_price,closed_price,target_exposure,actual_exposure,conditions,ema_fast,ema_slow,momentum,trend_sma,btc_units_traded,trade_value_usd,cost_usd,cash_usd,btc_units,total_equity_usd,total_return_pct,drawdown_pct,gap_bars_processed,summary,late_recovery
spot_4h_dual_trend,dual_trend,2026-07-28T14:34:15.881513+00:00,2026-07-28T08:00:00+00:00,2026-07-28 08:00:00+00:00,1,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,63175.48,63450.0,1,1.0,"{'ema_trend': True, 'momentum': True, 'sma_regime': True}",64466.45,64256.53,0.018459,63302.44,0.15805218,9985.02,14.98,0.0,0.15805218,9985.02,-0.15,-0.15,1,"ENTER BTC; conditions 3/3; BTC $63,175; equity $9,985.02.",
spot_4h_dual_trend,dual_trend,2026-07-30T06:39:40.535292+00:00,2026-07-30T00:00:00+00:00,2026-07-30 00:00:00+00:00,11,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64017.81,64161.98,0,0.0,"{'ema_trend': False, 'momentum': True, 'sma_regime': True}",64220.63,64223.56,0.003359,63351.58,-0.15805218,10118.15,15.18,10102.98,0.0,10102.98,1.03,-1.09,1,"EXIT cash; conditions 2/3; BTC $64,018; equity $10,102.98.",
spot_4h_dual_trend,dual_trend,2026-07-30T14:29:29.814943+00:00,2026-07-30T08:00:00+00:00,2026-07-30 08:00:00+00:00,13,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64793.5,64788.0,1,1.0,"{'ema_trend': True, 'momentum': True, 'sma_regime': True}",64251.7,64229.64,0.005632,63371.89,0.15569225,10087.85,15.13,0.0,0.15569225,10087.85,0.88,-1.24,1,"ENTER BTC; conditions 3/3; BTC $64,794; equity $10,087.85.",
spot_4h_dual_trend,dual_trend,2026-07-31T10:50:17.578565+00:00,2026-07-31T04:00:00+00:00,2026-07-31 04:00:00+00:00,18,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,63895.8,63950.01,0,0.0,"{'ema_trend': True, 'momentum': False, 'sma_regime': True}",64333.63,64246.49,-0.003307,63408.98,-0.15569225,9948.08,14.92,9933.16,0.0,9933.16,-0.67,-2.76,1,"EXIT cash; conditions 2/3; BTC $63,896; equity $9,933.16.",
spot_4h_dual_trend,dual_trend,2026-08-07T05:07:40.075402+00:00,2026-08-07T00:00:00+00:00,2026-08-07 00:00:00+00:00,54,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/late-recovery-current-kline,64223.9,64289.99,1,1.0,"{'ema_trend': True, 'momentum': True, 'sma_regime': True}",64187.05,64057.12,0.004251,63262.01,0.15443287,9918.28,14.88,0.0,0.15443287,9918.28,-0.82,-2.9,6,"ENTER BTC; conditions 3/3; BTC $64,224; equity $9,918.28.",True
spot_4h_dual_trend,dual_trend,2026-08-09T05:17:10.200954+00:00,2026-08-09T00:00:00+00:00,2026-08-09 00:00:00+00:00,66,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64790.19,64788.8,0,0.0,"{'ema_trend': True, 'momentum': False, 'sma_regime': True}",64660.17,64166.73,-0.001249,63331.89,-0.15443287,10005.73,15.01,9990.73,0.0,9990.73,-0.09,-2.19,1,"EXIT cash; conditions 2/3; BTC $64,790; equity $9,990.73.",False
spot_4h_dual_trend,dual_trend,2026-08-09T09:00:38.872559+00:00,2026-08-09T04:00:00+00:00,2026-08-09 04:00:00+00:00,67,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64824.17,64826.14,1,1.0,"{'ema_trend': True, 'momentum': True, 'sma_regime': True}",64673.44,64174.93,0.008496,63335.79,0.15388955,9975.76,14.96,0.0,0.15388955,9975.76,-0.24,-2.34,1,"ENTER BTC; conditions 3/3; BTC $64,824; equity $9,975.76.",False
spot_4h_dual_trend,dual_trend,2026-08-09T13:13:17.406877+00:00,2026-08-09T08:00:00+00:00,2026-08-09 08:00:00+00:00,68,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,65017.9,64950.0,0,0.0,"{'ema_trend': True, 'momentum': False, 'sma_regime': True}",64695.57,64184.66,-0.0008,63340.0,-0.15388955,10005.58,15.01,9990.57,0.0,9990.57,-0.09,-2.19,1,"EXIT cash; conditions 2/3; BTC $65,018; equity $9,990.57.",False
spot_4h_dual_trend,dual_trend,2026-08-09T20:50:25.406892+00:00,2026-08-09T16:00:00+00:00,2026-08-09 16:00:00+00:00,70,False,ENTER,LONG,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,65134.39,65180.66,1,1.0,"{'ema_trend': True, 'momentum': True, 'sma_regime': True}",64773.61,64207.74,0.000593,63347.71,0.15315418,9975.6,14.96,0.0,0.15315418,9975.6,-0.24,-2.34,1,"ENTER BTC; conditions 3/3; BTC $65,134; equity $9,975.60.",False
spot_4h_dual_trend,dual_trend,2026-08-10T02:31:44.625296+00:00,2026-08-09T20:00:00+00:00,2026-08-09 20:00:00+00:00,71,False,EXIT,FLAT,https://data-api.binance.vision,https://data-api.binance.vision/ticker-in-current-kline,64996.25,64901.59,0,0.0,"{'ema_trend': True, 'momentum': False, 'sma_regime': True}",64783.85,64216.15,-0.005424,63349.72,-0.15315418,9954.45,14.93,9939.52,0.0,9939.52,-0.6,-2.69,1,"EXIT cash; conditions 2/3; BTC $64,996; equity $9,939.52.",False
